Content,Polarity,Score,Tokens
"Qué gran colombiano, qué enorme ser humano y gran líder es Humberto de la Calle. Y qué gran discurso y guía para la Paz nos dio hoy! GRACIAS",P,0.6399999393939395,"['gran', 'colombiano', 'enorme', 'ser', 'humano', 'gran', 'líder', 'humberto', 'calle', 'gran', 'discurso', 'guía', 'paz', 'dio', 'gracias']"
Gbno acuerda igualdad de género con FARC que es campeona en violación de niñas secuestradas y en abortos con amenaza,N,0.329142825974026,"['gbno', 'acuerda', 'igualdad', 'género', 'farc', 'campeona', 'violación', 'niñas', 'secuestradas', 'abortos', 'amenaza']"
Está suficientemente demostrando: Santos hace lo que se le da la gana.......a las FARC. Para prueba: desvincularon del PROCURADOR Ordóñez.,N,0.6239999409090909,"['suficientemente', 'demostrando', 'santos', 'da', 'gana', 'farc', 'prueba', 'desvincularon', 'procurador', 'ordóñez']"
11. Acuerdo Ya y Ya reconocer que el narcotráfico de FARC es también delito promotor de atrocidades,N,0.3359999681818182,"['acuerdo', 'reconocer', 'narcotráfico', 'farc', 'delito', 'promotor', 'atrocidades']"
Se inventaron el Aro y el Hacker para robarse las elecciones y ahora lo repiten para impulsar la impunidad del terrorismo.,N,0.31199997045454547,"['inventaron', 'aro', 'hacker', 'robarse', 'elecciones', 'repiten', 'impulsar', 'impunidad', 'terrorismo']"
#HagaHistoriaVoteNo No entendemos que algunos países apoyen aquí lo que allá no admitirían en favor del terrorismo.,N,0.3839999636363637,"['#hagahistoriavoteno', 'no', 'entendemos', 'países', 'apoyen', 'aquí', 'no', 'admitirían', 'favor', 'terrorismo']"
"#EnCartagenaDecimosNo USA no daría impunidad a Bin Laden, Santos encima elegibilidad a cabecillas FARC",N,0.5279999500000001,"['#encartagenadecimosno', 'no', 'daría', 'impunidad', 'bin', 'laden', 'santos', 'elegibilidad', 'cabecillas', 'farc']"
"#ConArgumentosDigoNo Esta amnistía disfrazada al terrorismo se otorga sin arrepentimiento,sin q entreguen dinero para reparar a las víctimas",N,0.38399996363636363,"['#conargumentosdigono', 'amnistía', 'disfrazada', 'terrorismo', 'otorga', 'arrepentimiento', 'entreguen', 'dinero', 'reparar', 'víctimas']"
"13. Santos, será mentira que Ud comprometió con FARC un gasto público adicional entre 8 y 10 billones por año!",N,0.4223999600000001,"['santos', 'mentira', 'ud', 'comprometió', 'farc', 'gasto', 'público', 'adicional', 'billones', 'año']"
La paradoja de La Paz de Santos: unos criminales Narcoterroristas protegidos por un acuerdo que obliga al estado y una sociedad fracturada!,N,0.49599995303030303,"['paradoja', 'paz', 'santos', 'criminales', 'narcoterroristas', 'protegidos', 'acuerdo', 'obliga', 'estado', 'sociedad', 'fracturada']"
Si mandato del NO era renegociar puntos de AcuerdosPaz los q ganaron deben cumplirlo. Si no van a renegociar con Farc sólo querían bloquear,P,0.5026666348484848,"['mandato', 'no', 'renegociar', 'puntos', 'acuerdospaz', 'ganaron', 'deben', 'cumplirlo', 'no', 'renegociar', 'farc', 'sólo', 'querían', 'bloquear']"
"#AlPlebiscitoNo Votar sí es aceptar que FARC, haga política con caudales de dinero ilegal y compre las armas que remplacen a las entregadas.",N,0.5074285233766234,"['#alplebiscitono', 'votar', 'aceptar', 'farc', 'haga', 'política', 'caudales', 'dinero', 'ilegal', 'compre', 'armas', 'remplacen', 'entregadas']"
"Con el SI a la paz lograremos q no haya más guerra de guerrillas con Farc y cese la violencia, y ¿qué ganaremos con el NO?",P,0.44159995818181824,"['paz', 'lograremos', 'no', 'guerra', 'guerrillas', 'farc', 'cese', 'violencia', 'ganaremos', 'no']"
Me aterra un país que con marcada liviandad celebra un acuerdo que NO ha leído y que más tarde será origen de nuevos males y conflictos.,N,0.43199995909090916,"['aterra', 'país', 'marcada', 'liviandad', 'celebra', 'acuerdo', 'no', 'leído', 'tarde', 'origen', 'nuevos', 'males', 'conflictos']"
No ensillemos sin tener las bestias. Esperamos con paciencia nuevos Acuerdos de Paz. Si es hoy perfecto. Si se demora unos días más también,P,0.5759999454545455,"['no', 'ensillemos', 'tener', 'bestias', 'esperamos', 'paciencia', 'nuevos', 'acuerdos', 'paz', 'perfecto', 'demora']"
Si propuestas de CD son sinceras y buscan soluciones xa salvar la paz y NO el poder en 2018 deben ser propuestas viables y hechas en la mesa,P,0.5759999454545456,"['propuestas', 'sinceras', 'buscan', 'soluciones', 'salvar', 'paz', 'no', 'poder', 'deben', 'ser', 'propuestas', 'viables', 'hechas', 'mesa']"
Mañana Presidente dará otro paso hacia la Paz: expedirá el decreto con la pregunta con la q se convocará #PlebiscitoPorLaPaz el 2 de Octubre,P,0.5279999500000001,"['mañana', 'presidente', 'dará', 'paso', 'paz', 'expedirá', 'decreto', 'pregunta', 'convocará', '#plebiscitoporlapaz', 'octubre']"
Sep 11-2001- La masacre contra el pueblo de los Estados Unidos. Colombia también debe castigar a los mayores delincuentes de FARC,N,0.34559996727272735,"['sep', 'masacre', 'contra', 'pueblo', 'estados', 'unidos', 'colombia', 'debe', 'castigar', 'mayores', 'delincuentes', 'farc']"
#ConArgumentosDigoNo Los mayores responsables (Farc) de las atrocidades no van a la cárcel ni a lugares alternativos,N,0.3359999681818182,"['#conargumentosdigono', 'mayores', 'responsables', 'farc', 'atrocidades', 'no', 'cárcel', 'lugares', 'alternativos']"
"#NuevoyMejorAcuerdo :Habra paz habrá esperanza, habrá un nuevo pais en el q en lugar de matarnos, construyamos juntos la patria d los hijos",P,0.5759999454545455,"['#nuevoymejoracuerdo', 'habra', 'paz', 'habrá', 'esperanza', 'habrá', 'nuevo', 'pais', 'lugar', 'matarnos', 'construyamos', 'juntos', 'patria', 'hijos']"
"#AlPlebiscitoNo¿Qué pasará con los milicianos urbanos de la FARC, irán a las zonas de concentración?",N,0.5759999454545455,"['#alplebiscitono', 'pasará', 'milicianos', 'urbanos', 'farc', 'irán', 'zonas', 'concentración']"
Gobierno negocia agenda nacional con terrorista Farc: por ahí va llegando el Castro Chavismo,N,0.09599999090909092,"['gobierno', 'negocia', 'agenda', 'nacional', 'terrorista', 'farc', 'llegando', 'castro', 'chavismo']"
Asesores de Santos informan a periodista que tienen acuerdo con FARC para reformas cosméticas. Alarma ante la jugada que pretende Santos,N,0.6143999418181819,"['asesores', 'santos', 'informan', 'periodista', 'tienen', 'acuerdo', 'farc', 'reformas', 'cosméticas', 'alarma', 'jugada', 'pretende', 'santos']"
Uribe por la guerra. Pastrana contra la Paz q su fracaso no logró. Vargas Lleras en guerra por la Presidencia: Nuestros estadistas de la Paz,P,0.41599996060606054,"['uribe', 'guerra', 'pastrana', 'contra', 'paz', 'fracaso', 'no', 'logró', 'vargas', 'lleras', 'guerra', 'presidencia', 'nuestros', 'estadistas', 'paz']"
Difícil entender cómo invita Santos a Uribe y sus seguidores cuando mantiene BRUTAL persecución contra aquellos que no están de acuerdo.,N,0.43199995909090916,"['difícil', 'entender', 'invita', 'santos', 'uribe', 'seguidores', 'mantiene', 'brutal', 'persecución', 'contra', 'no', 'acuerdo']"
Quienes anticipadamente salgan a tirar piedras a un #NuevoyMejorAcuerdo q ni siquiera han leido pondrán en evidencia q ninguna paz les sirve,P,0.3839999636363637,"['anticipadamente', 'salgan', 'tirar', 'piedras', '#nuevoymejoracuerdo', 'siquiera', 'leido', 'pondrán', 'evidencia', 'paz', 'sirve']"
